Abt Electronics	['Abt Electronics', 'David Abt', 'Jewel Abt', 'Bob Abt']
Abu Dhabi Media	['Abu Dhabi Media', 'Abu Dhabi Media Company', '\xd8\xb4\xd8\xb1\xd9\x83\xd8\xa9 \xd8\xa3\xd8\xa8\xd9\x88\xd8\xb8\xd8\xa8\xd9\x8a \xd9\x84\xd9\x84\xd8\xa5\xd8\xb9\xd9\x84\xd8\xa7\xd9\x85', 'Abu Dhabi Media (ADM)']
Accessible Media	['Accessible Media', 'Accessible Media Inc.', 'The National Broadcast Reading Service']
Acclarent	['Acclarent', 'Acclarent, Inc.']
Accounting Technicians Ireland	['Accounting Technicians Ireland', 'Institute of Accounting Technicians in Ireland']
Accreditation Association for Ambulatory Health Care	['Accreditation Association for Ambulatory Health Care', 'AAAHC', 'Accreditation association for ambulatory health care']
Ace Hotel	['Ace Hotel', 'Ace Hotels', 'Ace hotel', 'Alex Calderwood']
Acme United Corporation	['Acme United Corporation', 'Acme United Corp.']
Acorn Computers	['Acorn Computers', 'Acorn, Ltd.', 'Acorn computers', 'Acorn Computers Ltd', 'Acorn, Ltd', 'Acorn (computer)', 'Acorn computer', 'NewsPad', 'Acorn Computer', 'Acorn 286']
Acorn DVD	['Acorn DVD', 'Acorn.TV', 'AcornTV', 'Acorn Media UK']
Activision	['Activision', 'Activision Value Publishing, Inc.', 'Expert Software', 'Activision Publishing, Inc.', 'Mediagenic', 'Expert Software, Inc.', 'Activision Value Publishing', 'Head Games Publishing', 'Head Games Publishing, Inc.', 'ActiVision', 'Software Conversions', 'Software Conversions Ltd', 'Activision, Inc.', 'Actavision', 'Headgames', 'Activision Inc.', 'Activision Interactive', 'Froggman', 'HeadGames Publishing, Inc.', 'Activision Value', 'Activision Publishing Minneapolis, Inc.', 'Activision Publishing', 'Eric Hirshberg']
ACube Systems Srl	['ACube Systems Srl', 'ACube Systems', 'Acube Systems', 'Acube Systems Srl']
Ad Lib, Inc.	['Ad Lib, Inc.', 'AdLib', 'Adlib', 'AdLib Gold', 'AdLib Music Synthesiser Card', 'AdLib Music Synthesizer Card']
Adana Çimento	['Adana \xc3\x87imento', 'Adana Cimento']
Addax Petroleum	['Addax Petroleum', 'Addax petroleum']
Adept Technology	['Adept Technology', 'Adept Quattro', 'Adept Technology, Inc.']
Adex Mining	['Adex Mining', 'Adex Mining Inc.']
Adler and Allan	['Adler and Allan', 'Adler and allan']
ADLINK	['ADLINK', 'Adlink']
Adnams Brewery	['Adnams Brewery', "Adnam's", 'Adnams', 'Adnams PLC', 'Adnams Plc', 'Copper House distillery']
Adnkronos	['Adnkronos', 'Adnkronosinternational', 'Adnkronos International', 'Adnkronos.com']
Adonit	['Adonit', 'Adonit Inc.']
Advance America Cash Advance	['Advance America Cash Advance', 'Advanced America', 'Advance America, Cash Advance Centers, Inc.']
Advance-fee scam	['Advance-fee scam', 'Nigerian scam e-mail', 'Nigerian bank scam', '419 Scam', 'Advance-fee fraudster', 'Advance fee fraudster', 'Nigeria E-Mail Scam', 'Nigerian scammer', 'Nigerian scammers', 'Nigerian money scam', 'Nigerian scam', 'Nigerian 419 scam', 'Nigerian 419 spam', 'Nigerian advance fee fraud', '419 guestbook spam', '419 guestbook spamming', 'Advanced fee fraud', 'Mugun', 'Nigerian letter scam', '%22Funds forwarding%22 scheme', 'Funds forwarding scheme', 'Nigerian letters', 'Guyman', 'Guymen', 'Nigerian Letter Scam', 'Yahoo-yahoo boys', '419 scammer', 'Nigerian 419 Scam', 'Nigerian 419 Scammer', 'Nigerian 419 scammer', 'Nigerian Connection', 'Nigerian connection', 'The Nigerian Connection', 'The Nigerian connection', 'West African advance fee fraud', 'Nigerian Letter Scams', 'Nigerian Scams', 'Nigerian money transfer fraud', 'Nigeria scam', '419 fraud', '419 scam', 'Nigerian Scam', 'Urgent Assistance', 'Nigerian letter', '419 letter', '419 mail', 'Nigeria mail', 'Advance fee fraud', '411 scam', '419er', 'Nigerian spam', 'Nigerian Letter', 'Advance-fee fraud', 'Nigerian 419', 'International money transfer tax', 'Yahoo yahoo boys', 'Nigeria letter', 'Nigeria spam', 'African e-mail scam', 'African scam e-mails', '419-scam', 'Inheritance fraud', 'Money Transfer Hoax', 'Money Transfer hoax', 'Money transfer hoax', 'Nigerian Money Offer', 'Nigerian Money Offer Scam', 'Nigerian Money Offer Scams', 'Nigerian Money Offers', 'Nigerian advanced fee scam', 'Nigerian money offer', 'Nigerian money offer scam', 'Nigerian money offer scams', 'Nigerian money offers', 'Nigerian puppy scam', 'Puppy scam', 'The Nigerian puppy scam', 'West African Advance Fee Scam', 'West African advance fee scam', 'Nigerian email scandal', 'Nigerian Email Fraud', 'Nigera scam', '419 Advanced Fee Schemes', 'Advance Fee Fraud', 'Advance fee scam', 'Advanced-fee fraud', 'Nigerian Bidders', 'West African scam', 'Nigerian advance fee', 'Nigerian prince', 'Nigerian princes', 'Nigerian princess', 'Nigerian Prince scam', '419 scams', 'Detroit-Buffalo scam', '419 Nigerian Email Scam', '419 Nigerian Email Scams', '419 Scams', 'Advance Fee fraud', 'Nigerian prince scam', 'Advanced-fee scam']
Advanced Data Communication Control Procedures	['Advanced Data Communication Control Procedures', 'ADCCP']
Advantage Rent a Car	['Advantage Rent a Car', 'Advantage Rent A Car', 'Advantage rent a car']
Advent International	['Advent International', 'Advent Latin America', 'Advent International Corporation']
Advent Software	['Advent Software', 'Advent software', 'Advent Software Inc.', 'Advent Software, Inc.', 'Advent Software Inc', 'Tamale Software']
Advocacy for Respect for Cyclists	['Advocacy for Respect for Cyclists', 'Advocacy for respect for cyclists']
Adyar Ananda Bhavan	['Adyar Ananda Bhavan', 'Adyar Anandha Bhavan']
Aera Energy	['Aera Energy', 'CalResources LLC', 'Aera Energy LLC', 'Coles Levee Ecosystem Preserve']
Aeria Games	['Aeria Games', 'Aeria Games and Entertainment', 'Aeria Games & Entertainment', 'Aeria games and entertainment', 'WolfTeam', 'Grand Fantasia', 'Soldier Front 2', 'Dawn of gods']
Aermacchi	['Aermacchi', 'Aeronautica Macchi', 'Macchi', 'Alenia Aermacchi Spa', 'Nieuport-Macchi']
Aero Controls	['Aero Controls', 'Aero Controls Inc.']
Aero Rent	['Aero Rent', 'AERO RENT Airlines', 'Aero Rent Airlines']
Aerocon	['Aerocon', 'Aero Comercial Oriente Norte Ltda.', 'Linea Aerea Aerocon', 'L\xc3\xadnea A\xc3\xa9rea Aerocon']
AeroLogic	['AeroLogic', 'Aerologic', 'Aero Logic']
Aerophile	['Aerophile', 'A\xc3\xa9rophile SA', 'Aerophile SA', 'Aerophile SAS']
Aeroporti di Roma	['Aeroporti di Roma', 'Aeroporti di Roma SpA']
Aérospatiale	['A\xc3\xa9rospatiale', 'A\xc3\xaarospatiale', 'SNIAS', 'Aerospatiale', 'Societe Nationale Industrielle Aerospatiale', 'Societe nationale industrielle aerospatiale', 'Soci\xc3\xa9t\xc3\xa9 Nationale Industrielle Aerospatiale', 'Soci\xc3\xa9t\xc3\xa9 Nationale Industrielle A\xc3\xa9rospatiale', 'Soci\xc3\xa9t\xc3\xa9 nationale industrielle a\xc3\xa9rospatiale', 'European Aerospace Corporation', 'French Aerospace Corporation']
African Export–Import Bank	['African Export\xe2\x80\x93Import Bank', 'African Export-Import Bank', 'Afreximbank']
Age UK	['Age UK', 'Age Concern and Help the Aged', 'Age Wales', 'Age concern and help the aged']
Agency59	['Agency59', 'Agency 59', "Agency'59", 'AGENCY59']
Agricultural Cooperative Bank of Iraq	['Agricultural Cooperative Bank of Iraq', 'Agricultural cooperative bank of iraq']
Agro (company)	['Agro (company)', 'Agro, Inc.']
AGV Sports Group	['AGV Sports Group', 'AGVSPORT', 'AGV Sport']
AhnLab, Inc.	['AhnLab, Inc.', 'HackShield', 'AhnLab Inc', 'Hackshield', 'AhnLab SiteGuard', 'Vaccine 3']
AIOD leads	['AIOD leads', 'AIOD']
Air Arabia Maroc	['Air Arabia Maroc', 'Air Arabia Morocco']
Air Australia	['Air Australia', 'Air australia', 'Strategic Aviation', 'Strategic Aviation Group Pty Ltd', 'Strategic Airlines']
Air Choice One	['Air Choice One', 'Multi-Aero', 'Multi-Aero Corporation', 'Multi-Aero Inc.', 'Multi Aero', 'Multi Aero Inc', 'Air Choice One Airlines', 'Multi-Aero, Inc.']
Air Gemini	['Air Gemini', 'Air Gemini Cargo']
Air Kazakhstan	['Air Kazakhstan', 'Airkaz.com']
Air Weapons Complex	['Air Weapons Complex', 'Air Weapon Complex']
Airborne Athletics	['Airborne Athletics', 'Airborne Athletics, Inc']
Airco	['Airco', 'Aircraft Manufacturing Company', 'May, Harden and May', 'Wycombe Aircraft Constructors']
Aircraft Designs	['Aircraft Designs', 'Aircraft Designs Inc']
Airship Ventures	['Airship Ventures', 'Eureka (airship)', 'Airship Ventures Inc.']
Airspeed Ltd.	['Airspeed Ltd.', 'Airspeed Ltd', 'Airspeed Aircraft']
Airtel Sri Lanka	['Airtel Sri Lanka', 'Airtel Lanka', 'Bharti Airtel Lanka', 'Bharti Airtel Lanka (Pvt) Ltd.', 'Airtel sri lanka', 'Airtel (Sri Lanka)']
Aitken Spence	['Aitken Spence', 'Aitken Spence PLC', 'Heritance Kandalama', '\xe0\xae\x8e\xe0\xae\xaf\xe0\xaf\x8d\xe0\xae\x9f\xe0\xaf\x8d\xe0\xae\x95\xe0\xae\xbf\xe0\xae\xa9\xe0\xaf\x8d \xe0\xae\xb8\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x86\xe0\xae\xa9\xe0\xaf\x8d\xe0\xae\xb8\xe0\xaf\x8d', '\xe0\xb6\x91\xe0\xb6\xba\xe0\xb7\x92\xe0\xb6\xa7\xe0\xb7\x8a\xe0\xb6\x9a\xe0\xb7\x92\xe0\xb6\xb1\xe0\xb7\x8a \xe0\xb7\x83\xe0\xb7\x8a\xe0\xb6\xb4\xe0\xb7\x99\xe0\xb6\xb1\xe0\xb7\x8a\xe0\xb7\x83\xe0\xb7\x8a']
Aker Arctic	['Aker Arctic', 'Aker Arctic Technology Inc.']
Aksys Games	['Aksys Games', 'Aksys']
Al Dahra Agricultural Company	['Al Dahra Agricultural Company', 'Al dahra Agricultural Company']
Al Watany Bank of Egypt	['Al Watany Bank of Egypt', 'Al Watani Bank of Egypt', 'Al watany bank of egypt']
Al-Amanah Islamic Bank	['Al-Amanah Islamic Bank', 'Al-Amanah Islamic Investment Bank of the Philippines', 'Al Amanah Islamic Investment Bank of the Philippines']
Alacra	['Alacra', 'Alacra, Inc.']
ALARGAN International Real Estate Company	['ALARGAN International Real Estate Company', 'ALARGAN International Real Estate']
Alarko Holding	['Alarko Holding', 'Alarko']
Alasin Media	['Alasin Media', 'Alasin media']
Alawar	['Alawar', 'Alawar Games', 'Alawar Entertainment']
Albemarle County Police Department	['Albemarle County Police Department', 'Albemarle County Police Department (Virginia)']
Albright Stonebridge Group	['Albright Stonebridge Group', 'Stonebridge International', 'Albright Capital Management', 'Albright Group']
Albtelecom	['Albtelecom', 'ALBtelecom']
Alcalde and Fay	['Alcalde and Fay', 'Alcalde and fay', 'Alcalde & Fay']
Alertnet	['Alertnet', 'AlertNet']
Alexandria Police Department	['Alexandria Police Department', 'Alexandria Police Department (Virginia)']
Alfa Aesar	['Alfa Aesar', 'Aesar']
Alfa Romeo	['Alfa Romeo', 'Alfa Romeo Automobiles S.p.A.', 'Alfa Romeo Spa', 'AlfaRomeo', 'Alfaromeo', 'Alfa Romeo Post War', 'UK Alfa 164 Register', 'Alfa-Romeo', 'Alfa Romeo Models', 'Alfa Romeo Automobiles', 'Anonima Lombarda Fabbrica Automobili', 'Alfa Romeos', 'Alpha-Romeo', 'Alpha Romeo', 'Alfa romeo history', 'Alfa Romeo V8']
Algemene Bank Nederland	['Algemene Bank Nederland', 'Algemene Bank Nederland(old bank)']
Alitalia	['Alitalia', 'Linee Aeree Italiane Spa', 'Alitalia.it', 'Alitalia Airlines', 'MilleMiglia', 'Compagnia Aerea Italiana', 'Alitalia airlines', 'Alitalia airways', 'Alitalia.com', 'Compagnia Aerea Italiana S.p.A.', 'Alitalia - Compagnia Aerea Italiana S.p.A.', 'Alitalia Airport', 'Alitalia Maintenance Systems', 'Alitalia Maintenance Systems S.P.A.', 'Alitalia S.p.A.', 'Alitalia Servizi SpA', 'Alitalia \xe2\x80\x93 Compagnia Aerea Italiana', 'Alitalia \xe2\x80\x93 Compagnia Aerea Italiana S.p.A.', 'Alitalia \xe2\x80\x93 Societ\xc3\xa0 Aerea Italiana', 'Alitalia Group', 'AZ fleet', 'Alitalia fleet', 'Alitalia - Compagnia Aerea Italiana', 'Alitalia - Societ\xc3\xa0 Aerea Italiana']
All American Foods	['All American Foods', 'Pro Mix', 'All American Food', 'All American Foods, Inc.', 'All American Foods, inc', 'All American Foods Inc', 'All American Foods Inc.', 'All American Foods Incorporated']
All-in-Wonder	['All-in-Wonder', 'ATI All In Wonder', 'All-In-Wonder', 'ATI All-In-Wonder', 'All In Wonder']
Allen, Allen, Allen & Allen	['Allen, Allen, Allen & Allen', 'History of Allen, Allen, Allen & Allen']
Aller Media	['Aller Media', 'Allers', 'Allers (magazine)', 'Aller Press', 'Allers (Swedish magazine)', 'Allers (publisher)', 'Aller (publisher)', 'Se og Hor (Denmark)', '1337 Magazine', 'Allers (magazine Norway)', 'Allers (magazine Sweden)', 'L337mag', 'L33t Magazine']
Allianz	['Allianz', 'Allianz AG', 'Allianz Cornhill', 'Allianz Global Investors', 'Cornhill Insurance', 'Allianz Group', 'Allianz SE', 'Allianz Global Corporate & Speciality', 'Rosenberg Capital Management', 'Rosenberg capital management', 'AGIC Convertible & Income Fund', 'AGIC Convertible & Income Fund II', 'AGIC Equity & Convertible Income Fund', 'AGIC Global Equity & Convertible Income Fund', 'AGIC International & Premium Strategy Fund', 'Allianz Societas Europaea', 'Club Marine', 'Allianz UK', 'Allianz Worldwide Care', 'Allianz Insurance', 'Allianz Insurance plc', 'Allianz plc', 'Allianz Capital Partners']
Allied Academies	['Allied Academies', 'Allied academies']
Allied Dunbar	['Allied Dunbar', 'Hambro Life']
Allied Insurance	['Allied Insurance', 'AMCO Insurance Company', 'Allied Property and Casualty Insurance Company', 'Allied Group']
Allied Schools (United States)	['Allied Schools (United States)', 'Allied Business Schools', 'Allied American University (AAU)', 'Allied American University, Laguna Beach']
Allocation de Solidarité aux Personnes Agées	['Allocation de Solidarit\xc3\xa9 aux Personnes Ag\xc3\xa9es', 'SASPA', 'Allocation de Solidarite aux Personnes Agees']
AllSaints	['AllSaints', 'AllSaints (retailer)', 'Allsaints (brand)', 'Allsaints (clothing)', 'AllSaints (clothing)', 'Allsaints']
ALMACO	['ALMACO', 'ALMACO Group']
AlMasria Universal Airlines	['AlMasria Universal Airlines', 'Al Masria', 'FlyAlmasria.com', 'FlyAlmasria.com Ltd', 'AlMasria Universal (airline)']
Almaz Shipbuilding Company	['Almaz Shipbuilding Company', 'Almaz shipbuilding company']
Almo Sounds	['Almo Sounds', 'Almo records']
ALOE Systems	['ALOE Systems', 'MERA Systems']
Alpha Data	['Alpha Data', 'Alphadata']
Alpine Beer Company	['Alpine Beer Company', 'Alpine beer company']
Alta Communications	['Alta Communications', 'Alta Partners (Boston)']
Alta Partners	['Alta Partners', 'Alta Biopharma Partners', 'Alta California Partners', 'Alta Partners (California)']
Altar Games	['Altar Games', 'ALTAR Interactive', 'Altar Interactive', 'ALTAR Games']
ALTEN	['ALTEN', 'Alten']
Alter és Kiss	['Alter \xc3\xa9s Kiss', 'ALTER \xc3\x89s KIS', 'Antal Alter', 'ALTER & KISS', 'ALTER KISS', 'Alter & Kiss', 'Alter Kiss', 'Alter and Kiss', 'Alter and kiss', 'Alter es Kiss', 'Alter kiss']
Altoona Metro Transit	['Altoona Metro Transit', 'AMTRAN (Altoona Transit)', 'AMTRAN']
Altor Equity Partners	['Altor Equity Partners', 'Altor Capital Partners', 'Altor Partners']
Altria	['Altria', 'Philip Morris Tobacco Company', 'Altria Group Inc', 'Philip Morris Inc.', 'Philip Morris Corp.', 'Philip Morris Companies Inc.', 'Philip Morris International Finance Corporation', 'Altria Group Inc.', 'Altria Group Incorporated', 'List of assets owned by Altria Group', 'Altria Group, Inc.', 'Altria Group', 'Philip Morris Cos.', 'Rebranding of Phillip Morris to Altria', 'Philip Morris Companies', 'The Altria Group', 'Hamish Maxwell']
AlwaysHD	['AlwaysHD', 'Alwayshd']
Alyeska Pipeline Service Company	['Alyeska Pipeline Service Company', 'Alyeska Pipeline Services Company', 'Alyeska consortium', 'Alyeska Pipeline Company']
AmalBank	['AmalBank', 'Amalgamated Bank Limited']
Amazon Dash	['Amazon Dash', 'Amazon Dash Button', 'Amazon Dash Replenishment Service', 'Amazon Dash button', 'Amazon dash button', 'Dash Button', 'Dash Replenishment Service', 'Dash button']
Amazon Payments	['Amazon Payments', 'Amazon FPS', 'TextPayMe', 'Textbuyit', 'TextBuyIt', 'Amazon fps', 'Amazon payments', 'Amazon PayPhrase', 'PayPhrase', 'Payphrase']
Amazon Robotics	['Amazon Robotics', 'Kiva Systems']
AmazonFresh	['AmazonFresh', 'Amazon Grocery', 'Amazon Fresh', 'Amazon fresh']
Ambassadors Group	['Ambassadors Group', 'Ambassadors International', 'EPAX', 'Ambassadors Group, Inc.']
American Combat Association	['American Combat Association', 'American combat assn']
American River Bank	['American River Bank', 'American River Bankshares']
American Sugar Refining	['American Sugar Refining', 'ASR Group']
Americas' SAP Users' Group	["Americas' SAP Users' Group", 'ASUG', "The Americas' SAP Users' Group", "The Americas' SAP Users' Group (ASUG)"]
AmericInn	['AmericInn', 'AmericInn Hotels']
Amerigroup	['Amerigroup', 'AMERIGROUP Corporation']
Amphora	['Amphora', 'Amphor\xc3\xa6', 'Amphorae', 'Amphoras', 'Neck amphora', 'Belly Amphora', 'Neck Amphora', '\xf0\x9f\x8f\xba']
Amrutanjan Healthcare	['Amrutanjan Healthcare', 'Amrutanjan Healthcare Limited']
Amstrad	['Amstrad', 'Amstrad Consumer Electronics', 'Brentwood House', 'Amstrad plc', 'Alan Michael Sugar Trading']
Amtrak's 25 Hz traction power system	["Amtrak's 25 Hz traction power system", '25 Hz Power Transmission System', "Amtrak's 25 Hz Traction Power System"]
Amuse, Inc.	['Amuse, Inc.', 'Amuse inc', 'Live Viewing Japan']
Amusement Vision	['Amusement Vision', 'AM4 dept.', 'Sega AM4', 'New Entertainment R&D Dept.', 'Amusement Vision, Ltd.', 'SEGA AM4', 'Sega-AM4', 'Sega AM4 R&D']
Amutham Music	['Amutham Music', 'Amutham', 'Amutham Inc.', 'Amutham Music Inc.']
Amyris (company)	['Amyris (company)', 'Amyris Biotech', 'Amyris biotech', 'Amyris Biotechnologies', 'Amyris, Inc.']
Anabuki Construction	['Anabuki Construction', 'Anabuki Construction Inc.', 'Anabuki Group', 'Anabuki Komuten', 'Anabuki K\xc5\x8dmuten', 'Anabukinchan', 'Anabukichan']
Anadolu Agency	['Anadolu Agency', 'Anadolu Ajans\xc4\xb1', 'Anadolu News Agency', 'Anatolian Agency', 'Anatolia News Agency']
ANAS	['ANAS', 'Azienda Nazionale Autonoma delle Strade']
Ancient Greek architecture	['Ancient Greek architecture', 'Ancient Greek Architecture', 'Architecture of ancient greece', 'Greek Architecture', 'Architecture of Greece', 'Architecture of Ancient Greece', 'Greek architecture', 'Greek architects', 'Architecture of ancient Greece']
Andhra Pradesh Power Generation Corporation	['Andhra Pradesh Power Generation Corporation', 'APGENCO', 'Ap genco', 'Andhra Pradesh Power Generation Corporation Limited']
Andrews Kurth	['Andrews Kurth', 'Andrews & Kurth', 'Andrews & Kurth, L.L.P.']
Anna's Swedish Thins	["Anna's Swedish Thins", 'Annas Pepparkakor', 'Annas pepparkakor']
Another Rainbow Publishing	['Another Rainbow Publishing', 'Another Rainbow']
Ansul	['Ansul', 'Environmental record of Ansul']
Anta Sports	['Anta Sports', 'ANTA sports', 'ANTA Sports']
Anti-psychiatry	['Anti-psychiatry', 'Antipsychiatry', 'Anti-psychiatric', 'Anti psychiatry', 'Anti-psychology', 'Anti-psychiatry movement', 'Anti-Psychiatry', 'Anti-psychiatric movement', 'History of anti-psychiatry', 'Therapeutic State']
Antibody Solutions	['Antibody Solutions', 'Antibody solutions']
Antler Luggage	['Antler Luggage', 'History of Antler Luggage']
AOL Broadband	['AOL Broadband', 'AOL UK', 'AOL broadband', 'Aol Broadband', 'Aol boadband']
Apollo Broadcast Investors	['Apollo Broadcast Investors', 'GV Broadcasting Systems', 'GV Broadcasting Systems, Inc', 'GV Broadcasting Systems, Inc.', 'Apollo Broadcast Investors, Inc.']
ApplianSys	['ApplianSys', 'Appliansys']
Aptean	['Aptean', 'CDC Software', 'CDCSoftware', 'Cdc software', 'CDC Software aka Customer Driven Company']
Arabesque Partners	['Arabesque Partners', 'Arabesque partners']
Arabic calligraphy	['Arabic calligraphy', 'Arabic Calligraphy']
Aramark	['Aramark', 'Aramark Limited', 'CampusDish', 'Aramark Corporation', 'ARAMARK', 'ARAMARK Holdings Corporation', 'Aramark Holdings Corporation']
ARC Resources	['ARC Resources', 'ARC Resources Ltd.', 'ARC Energy Trust']
ARCA SGR	['ARCA SGR', 'Arca SGR']
Archway Cookies	['Archway Cookies', 'Archway (cookie company)']
Ardagh Group	['Ardagh Group', 'Ardagh Glass Group', 'Ardagh group']
Ares Management	['Ares Management', 'Ares Capital Corp', 'Ares Capital Corp.', 'Ares Capital Corporation', 'Ares management', 'Ares Capital', 'Ares Management, L.P.']
ARIAD Pharmaceuticals	['ARIAD Pharmaceuticals', 'ARIAD Pharmaceuticals, Inc.', 'Ariad Pharmaceuticals']
